ELM,Naive_High,CM_High,CM_Low,EM_High,EM_Low
LIR,-1.84667150158635,0.27683586166380214,-1.391845411917811,-1.180653233443647,-5.604769737222616
ELM_14_3_3,0.3593177542825692,-1.7990479598837834,-5.511579992713884,0.5434466679636494,0.06699610014234152
MAPK,-4.8826529731036405,-0.6377651947319639,2.648927394247518,-2.041244712038272,-2.050523746914317
SH2,-4.695766268006781,-2.0984583165500448,-2.0072895522849823,-0.8377671686209296,-0.6282476047847219
USP7,1.7786129310148318,0.22851620133739567,-3.944165579629025,-2.51993991164757,0.0937612664265396
PDZ,0.3464982594793812,-2.824488910460403,-3.730243956944747,1.9601485266789593,0.9901235639192693
WD40,-2.0480493500081125,-3.460019245903147,-1.6763169013476014,-0.6252075536403222,-2.1736948746963507
FHA,0.36126788837877516,-2.0230191633369983,-3.282654367667463,-0.2892634649897267,-0.26893542866034975
SH3,2.8342736615117596,-2.4366779637241844,-2.1172751886060173,-0.6680181418836303,-0.6400494934325108
CYCLIN,-1.8334244658132306,1.063429162640456,2.3685610631947496,0.7261358166414883,-2.5493381053485518
BIR,-1.1273564998151235,0.9790585013085853,2.2349761988848234,-0.9445111142846184,-0.7507510902224999
SUMO,0.322046643566396,0.9297595562200098,-0.379832692200037,-0.7643376378184323,-1.6289776428613991
TYR,-1.5712695308195666,0.5635090706618266,0.028455126406604577,0.2814659673559574,0.10266095701659254
Arc,-1.4476430875534225,1.1662146388393932,-1.4952744122175479,-1.5592782909520153,0.9737772619901738
WW,0.8188930022078525,0.23817879141519946,-1.5267491879374948,-0.7240540736075245,1.5372446199494507
BRCT,1.5303322363734622,-0.1260753224014912,-0.28017515564368084,0.5796370325544125,-0.19469660219851334
Pex14,1.322359601784724,-1.3885703146756252,0.1982487390206443,-0.28304292136422643,-0.8524306721504729
WRC,-0.017547482795104066,-0.5521899333317851,-1.346771204273311,0.1727194356574513,0.8166390852041704
PP1,1.0802328077303451,-0.31136790668582404,0.39386591265924226,-0.2748861698840402,-1.2092902550365459
PP2A,-0.6776948457940011,-0.3905850954551771,-0.35020031133928115,0.05976114981358253,1.1274995494388942
UBA3,-1.110418698253826,-0.08642670992209543,-0.45766601752710745,-0.44732567884436936,0.08362809161841336
PP2B,-0.5742276474314967,-0.10048837571358654,0.8435146320193773,0.214482570348791,-0.15444247384873516
TRAF4,0.7931518166368419,0.21573414033685817,-0.5872424609428469,-0.008816459040148671,-0.6614852247252989
MYND,0.46940284383492253,0.026092762062315096,-0.05528853095939114,0.2564954899101441,-0.7106217522949528
TRAF6,-0.2835908952467496,-0.6347704672734689,-0.21573088104080884,0.006154347255265498,0.47140311925534095
REV1ctd,-0.6171995552029265,-0.02018324985155049,-0.260355759297111,0.38227553181592633,0.5520228792655313
PCNA,-0.26125614402609243,0.5454419612849256,-0.15936406749896007,-0.6018978256918405,0.1071235748862925
NRP,-0.22169045117896638,-0.32230362195170176,-0.029962738757901168,-0.3961068766966129,0.5893941868573513
MSH2,-0.39899285623125325,-0.12242847765781414,-0.5354900472850339,-0.18540802031365403,-0.12189166688670244
EVH1,0.17377277806439528,-0.5309122301030756,0.0784432501616862,0.011299488660086201,-0.1165069120769753
PTB,-0.27339378195487024,0.019622219836602808,-0.5080168026627001,-0.4803264598708566,0.5012729182607106
Actin,0.484908534434503,0.33000889386871657,0.0368282998095088,-0.07301956359220889,-0.24143672550149142
NRBOX,0.04588296777741232,-0.14001155738739293,-0.0520079744590237,-0.4676754494529508,0.07801688604090855
TRAF2like,0.18984335211819567,-0.1287386753793432,-0.3049046354908516,-0.3235409821033481,-0.43388226822800846
PP4,-0.2795758299578313,-0.17317733570467436,0.12714013572744182,-0.049005389388686336,-0.43171507160334044
eIF4E,0.12092830197297656,-0.3872194065496746,-0.11307110791804804,0.06581695381961525,-0.04865320129336699
IRF7,0.37242587760162194,0.05356194685637188,-0.3076610362253222,0.016728514194346646,-0.27729616125654527
deltaCOP1,-0.08071096710547111,0.3539329615407723,0.09017013144313318,-0.1675965813624975,0.04765676260745855
CKS1,-0.14441269814268512,0.16225764412134305,0.33994450400114273,-0.27774938872372046,-0.21361604201472334
APCC,0.04468449732020037,0.1491091754127709,-0.1394199385824467,-0.3201643620144598,-0.0763959454828046
Clathr,-0.1354871253927386,0.30869524261598547,0.12686513413691927,-0.08635642690987792,-0.06649804006252771
Integrin,-0.00837016582673357,0.04036118214500464,-0.2939749133020152,-0.029107713600979124,0.06363713281577574
ANK,-0.28336497919694864,0.15874175299711674,-0.1389642598897114,-0.11560293754512237,0.066477556809262
CSL,-0.16943139331790716,-4.6677952352860334e-08,0.25470752048598644,0.020802540116286256,-0.16301631003922074
TRFH,0.10877738588773431,-0.22729685477795009,0.049139698138787144,-0.01869667592230131,0.025530064519479714
DLG,0.1277371543863543,-0.2187728888820744,-0.21287970398021927,0.04769661382461631,0.15546734011329247
CDC14,-0.07480253224674391,-0.020576292125117437,0.1567816171872045,-0.10522304936959968,-0.08754234176153082
LYPXL,0.03313230143162405,-0.07485444299756032,0.1548520561745414,0.005613293678614412,-0.08657691306678207
GBD,0.08732637745031459,-0.04623964927709598,0.008431527566274848,-0.03647006480414184,0.021072148303810698
