,0
'14-3-3',ELM_14_3_3
'ANK',ANK
'APCC',APCC
'Actin',Actin
'Arc',Arc
'BIR',BIR
'BRCT',BRCT
'CDC14',CDC14
'CKS1',CKS1
'CSL',CSL
'CYCLIN',CYCLIN
'Clathr',Clathr
'DLG',DLG
'EVH1',EVH1
'FHA',FHA
'GBD',GBD
'IRF7',IRF7
'Integrin',Integrin
'LIR',LIR
'LYPXL',LYPXL
'MAPK',MAPK
'MSH2',MSH2
'MYND',MYND
'NRBOX',NRBOX
'NRP',NRP
'PCNA',PCNA
'PDZ',PDZ
'PP1',PP1
'PP2A',PP2A
'PP2B',PP2B
'PP4',PP4
'PTB',PTB
'Pex14',Pex14
'REV1ctd',REV1ctd
'SH2',SH2
'SH3',SH3
'SUMO',SUMO
'TRAF2like',TRAF2like
'TRAF4',TRAF4
'TRAF6',TRAF6
'TRFH',TRFH
'TYR',TYR
'UBA3',UBA3
'USP7',USP7
'WD40',WD40
'WRC',WRC
'WW',WW
'deltaCOP1',deltaCOP1
'eIF4E',eIF4E
