motif,Naive,CM,EM,PD1_Low
F_14_3_3,-2.643512160894413,-0.4406218322468695,-0.1845366034640616,-4.198210796189076
BIR,1.0495375527948534,2.356473958891817,-0.5556501903874511,0.5261052988089567
BRCT,-6.177369934657688,-1.2700191749735148,0.24819068258409627,-4.588096601116728
CYCLIN,-15.940137485082463,-8.437102468499683,-7.980285222555158,-6.454250185217638
FHA,-6.36937682481845,-6.685815228758765,-16.600237422767066,-18.85917112487083
LIR,-6.120048021720548,-5.02379158811655,-6.140966243109301,-10.725196458969695
MAPK,-8.902656841896812,-5.42177151642171,-4.137206383347031,-4.695348312154551
NRP,-12.62337398283812,-12.558643019547038,-7.129151894449605,-10.066145045576372
PDZ,-3.348191343988417,-4.6705741038721955,-3.319947920211879,-4.40904402759154
PP1,-12.423387274392898,-6.987936306086527,-11.279191713892926,-12.173317371021403
PP4,-6.866967359163727,-6.141818022841977,-4.806419664490135,-6.4735291359658005
Pex14,-10.021093781284932,-13.866393958266105,-14.160402285104272,-30.294758312831846
SH2,4.973616686325013,2.9696680269700737,3.4961295984924883,1.944528928862901
SH3,-7.915327802837044,-8.106395873937966,-9.406465125528273,-10.171772344910897
SUMO,-25.25705809907233,-13.832927326264397,-17.036792471863613,-17.928328788416863
UBA3,13.584532773128306,4.72384839463443,2.6080439997645506,6.847724877522433
USP7,-18.08134463540579,-4.364866663101629,-2.0098773320982954,-6.012686322970407
WD40,6.33696138635281,1.8854769809232481,0.26946066083734965,1.0960077233821786
WW,-7.154811331670284,-8.825591236527975,-3.741295148451467,-3.85655719240808
